Clean SKU,Stripped SKU,ORDER CODE,BRAND,Unnamed: 4,Unnamed: 5,LIST PRICE,DEALERS DISCOUNT,Unnamed: 8,Our Price,Our Price Values,Unnamed: 11,Compared to Sage,Compared to Generated
AKM6230JS,AKM6230JS,AKM6230JS,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - JUBILEE SILVER,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230JS,AKM6230JS
AKM6230MW,AKM6230MW,AKM6230MW,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - MINERAL WHITE,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230MW,AKM6230MW
AKM6230HB,AKM6230HB,AKM6230HB,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - HARMONY BEIDGE,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230HB,AKM6230HB
AKM6230C,AKM6230C,AKM6230C,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - CREME,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230C,AKM6230C
AKM6230OB,AKM6230OB,AKM6230OB,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - OCEAN BLUE,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230OB,AKM6230OB
AKM6230OG,AKM6230OG,AKM6230OG,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - OLIVE GREEN,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230OG,AKM6230OG
AKM6230SY,AKM6230SY,AKM6230SY,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - SUNBEAN YELLOW,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230SY,AKM6230SY
AKM6230CC,AKM6230CC,AKM6230CC,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - CORAL CRUSH,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230CC,AKM6230CC
AKM6230R,AKM6230R,AKM6230R,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - RED,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230R,AKM6230R
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 15,PAGE 15,PAGE 15,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
AKM920900067,AKM920900067,AKM920900067,ANKARSRUM,DELUXE PACKAGE FOR ANKARSRUM MIXER,,8600,0.25,0.3,6450.0,6450.0,,AKM920900067,AKM920900067
AKM920900057,AKM920900057,AKM920900057,ANKARSRUM,MEAT MINCER AND SAUSAGE HORN 10 / 20 / 25MM,,3600,0.25,0.3,2700.0,2700.0,,AKM920900057,AKM920900057
AKM920900052/3/4/5,AKM920900052/3/4/5,AKM920900052/3/4/5,ANKARSRUM,HOLE DISCS FOR MINCER 2.5 / 4.5 / 6 / 8MM,,400,0.25,0.3,300.0,300.0,,AKM920900052/3/4/5,AKM920900052/3/4/5
AKM920900034,AKM920900034,AKM920900034,ANKARSRUM,GRATER ATTACHEMENT FOR MINCER ,,1200,0.25,0.3,900.0,900.0,,AKM920900034,AKM920900034
AKM920900033,AKM920900033,AKM920900033,ANKARSRUM,STRAINER ATTACHMENT FOR MINCER,,1800,0.25,0.3,1350.0,1350.0,,AKM920900033,AKM920900033
AKM920900035,AKM920900035,AKM920900035,ANKARSRUM,COOKIE ATTACHMENT FOR MINCER,,600,0.25,0.3,450.0,450.0,,AKM920900035,AKM920900035
AKM920900036,AKM920900036,AKM920900036,ANKARSRUM,PASTA DISCS FOR MINCER,,400,0.25,0.3,300.0,300.0,,AKM920900036,AKM920900036
AKM920900066,AKM920900066,AKM920900066,ANKARSRUM,BLENDER WITH 1.5LT JUG,,2400,0.25,0.3,1800.0,1800.0,,AKM920900066,AKM920900066
AKM920900026,AKM920900026,AKM920900026,ANKARSRUM,CITRUS PRESS - 1.2LT,,800,0.25,0.3,600.0,600.0,,AKM920900026,AKM920900026
AKM920900043,AKM920900043,AKM920900043,ANKARSRUM,VEGETABLE CUTTER,,3000,0.25,0.3,2250.0,2250.0,,AKM920900043,AKM920900043
AKM920900044,AKM920900044,AKM920900044,ANKARSRUM,EXTRA GRATING DRUMS,,2400,0.25,0.3,1800.0,1800.0,,AKM920900044,AKM920900044
AKM920900008,AKM920900008,AKM920900008,ANKARSRUM,PASTA / LASAGNE ROLLER,,2400,0.25,0.3,1800.0,1800.0,,,
AKM920900010,AKM920900010,AKM920900010,ANKARSRUM,PASTA / FETTUCINI CUTTER ,,2200,0.25,0.3,1650.0,1650.0,,,
AKM920900065,AKM920900065,AKM920900065,ANKARSRUM,PASTA / SPAGHETTI CUTTER,,2200,0.25,0.3,1650.0,1650.0,,AKM920900065,AKM920900065
AKM920900045,AKM920900045,AKM920900045,ANKARSRUM,FLOUR AND COFFE GRINDER,,3400,0.25,0.3,2550.0,2550.0,,AKM920900045,AKM920900045
AKM920900046,AKM920900046,AKM920900046,ANKARSRUM,FLAKE MILL,,3400,0.25,0.3,2550.0,2550.0,,AKM920900046,AKM920900046
AKM92000196-50,AKM92000196-50,AKM92000196-50,ANKARSRUM,3.5LT PLASTIC BOWL,,600,0.25,0.3,450.0,450.0,,AKM92000196-50,AKM92000196-50
AKM920900072,AKM920900072,AKM920900072,ANKARSRUM,ICE CREAM ACCESSORY,,2800,0.25,0.3,2100.0,2100.0,,AKM920900072,AKM920900072
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 16,PAGE 16,PAGE 16,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
PMB0010,PMB0010,PMB0010,BAKEMARK,PLANETARY MIXER - 10LT,P,14800,0.25,0.3,11100.0,11100.0,,PMB0010,PMB0010
PMB0020,PMB0020,PMB0020,BAKEMARK,PLANETARY MIXER - 20LT,P,17200,0.25,0.3,12900.0,12900.0,,PMB0020,PMB0020
PMB0030,PMB0030,PMB0030,BAKEMARK,PLANETARY MIXER - 30LT,P,22800,0.25,0.3,17100.0,17100.0,,PMB0030,PMB0030
PMB0040,PMB0040,PMB0040,BAKEMARK,PLANETARY MIXER - 40LT,P,42000,0.25,0.3,31500.0,31500.0,,PMB0040,PMB0040
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
,,,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
PMB1010,PMB1010,PMB1010,BAKEMARK,PLANETARY MIXER - 10LT,P,14800,0.25,0.3,11100.0,11100.0,,,
PMB1020,PMB1020,PMB1020,BAKEMARK,PLANETARY MIXER - 20LT,P,19800,0.25,0.3,14850.0,14850.0,,,
PMB1040,PMB1040,PMB1040,BAKEMARK,PLANETARY MIXER - 40LT,P,38600,0.25,0.3,28950.0,28950.0,,,
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
,,,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
DMB1010,DMB1010,DMB1010,BAKEMARK,DOUGH MIXER - 10LT - SINGLE PHASE,P,13600,0.25,0.3,10200.0,10200.0,,,
DMB1020,DMB1020,DMB1020,BAKEMARK,DOUGH MIXER - 20LT - SINGLE PHASE,P,17600,0.25,0.3,13200.0,13200.0,,,
DMB1030,DMB1030,DMB1030,BAKEMARK,DOUGH MIXER - 30LT - SINGLE PHASE,P,22000,0.25,0.3,16500.0,16500.0,,,
DMB3050,DMB3050,DMB3050,BAKEMARK,DOUGH MIXER - 50LT - THREE PHASE,,32800,0.25,0.3,24600.0,24600.0,,,
DMB1110,DMB1110,DMB1110,BAKEMARK,DOUGH MIXER - 10LT - SINGLE PHASE - LIFT HEAD,P,17600,0.25,0.3,13200.0,13200.0,,,
DMB1120,DMB1120,DMB1120,BAKEMARK,DOUGH MIXER - 20LT - SINGLE PHASE - LIFT HEAD,P,24000,0.25,0.3,18000.0,18000.0,,,
DMB1130,DMB1130,DMB1130,BAKEMARK,DOUGH MIXER - 30LT - SINGLE PHASE - LIFT HEAD,P,25400,0.25,0.3,19050.0,19050.0,,,
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 17,PAGE 17,PAGE 17,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
DMB0010,DMB0010,DMB0010,BAKEMARK,DOUGH MIXER - 10LT - SINGLE PHASE,P,13600,0.25,0.3,10200.0,10200.0,,DMB0010,DMB0010
DMB0020,DMB0020,DMB0020,BAKEMARK,DOUGH MIXER - 20LT - SINGLE PHASE,P,19200,0.25,0.3,14400.0,14400.0,,DMB0020,DMB0020
DMB0030,DMB0030,DMB0030,BAKEMARK,DOUGH MIXER - 30LT - SINGLE PHASE,P,22000,0.25,0.3,16500.0,16500.0,,DMB0030,DMB0030
DMB0050,DMB0050,DMB0050,BAKEMARK,DOUGH MIXER - 50LT - THREE PHASE,,32800,0.25,0.3,24600.0,24600.0,,DMB0050,DMB0050
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 18,PAGE 18,PAGE 18,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
DMP1020,DMP1020,DMP1020,PRISMAFOOD,DOUGH MIXER - 20LT - SINGLE PHASE,,26200,0.25,0.3,19650.0,19650.0,,DMP1020,DMP1020
DMP1030,DMP1030,DMP1030,PRISMAFOOD,DOUGH MIXER - 30LT - SINGLE PHASE ,,32000,0.25,0.3,24000.0,24000.0,,DMP1030,DMP1030
DMP3030,DMP3030,DMP3030,PRISMAFOOD,DOUGH MIXER - 30LT - 3 PHASE,,32000,0.25,0.3,24000.0,24000.0,,DMP3030,DMP3030
DMP3050,DMP3050,DMP3050,PRISMAFOOD,DOUGH MIXER - 50LT - 3 PHASE ,,38000,0.25,0.3,28500.0,28500.0,,DMP3050,DMP3050
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGW 19,PAGW 19,PAGW 19,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
DDR-HLM-30S,DDR-HLM-30S,DDR-HLM-30S,BAKEMARK,DOUGH DIVIDER & ROUNDER,,92000,0.25,0.3,69000.0,69000.0,,,
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 20,PAGE 20,PAGE 20,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
PRP0040,PRP0040,PRP0040,PRISMAFOOD,PIZZA DOUGH ROLLER - DSA420 T.GO,P,23000,0.25,0.3,17250.0,17250.0,,PRP0040,PRP0040
PRP0041,PRP0041,PRP0041,PRISMAFOOD,PIZZA DOUGH ROLLER - DSA420 RP T.GO,P,25200,0.25,0.3,18900.0,18900.0,,PRP0041,PRP0041
PRP0050,PRP0050,PRP0050,PRISMAFOOD,PIZZA DOUGH ROLLER DMA500/1,P,18200,0.25,0.3,13650.0,13650.0,,PRP0050,PRP0050
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
,,,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
PRS0040,PRS0040,"PRS0040
",SMARTCHEF,PIZZA DOUGH ROLLER,P,19800,0.25,0.3,14850.0,14850.0,,,
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 21,PAGE 21,PAGE 21,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
PSB-QS-630B,PSB-QS-630B,PSB-QS-630B,BAKEMARK,PASTRY / DOUGH SHEETER - 630MM BELT ,,94400,0.25,0.3,70800.0,70800.0,,PSB-QS-630B,PSB-QS-630B
PSB-QS-400B,PSB-QS-400B,PSB-QS-400B,BAKEMARK,PASTRY / DOUGH SHEETER - 400MM BELT,,72400,0.25,0.3,54300.0,54300.0,,PSB-QS-400B,PSB-QS-400B
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 24,PAGE 24,PAGE 24,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
VPS0500FS-GF,VPS0500FS-GF,VPS0500FS-GF ,SMARTVAC,VACUUM PACK MACHINE WITH GAS FLUSHING SYSTEM - 500MM,P,76600,0.25,0.3,57450.0,57450.0,,,
VPS0600FS-GF,VPS0600FS-GF,VPS0600FS-GF,SMARTVAC,VACUUM PACK MACHINE WITH GAS FLUSHING SYSTEM - 600MM,P,57600,0.25,0.3,43200.0,43200.0,,VPS0600FS-GF,VPS0600FS-GF
VPS0400FS,VPS0400FS,VPS0400FS,SMARTVAC,VACUUM PACK MACHINE - 400MM,P,21000,0.25,0.3,15750.0,15750.0,,VPS0400FS,VPS0400FS
VPS0400FS-GF,VPS0400FS-GF,VPS0400FS-GF,SMARTVAC,VACUUM PACK MACHINE WITH GAS FLUSHING SYSTEM - 400MM,P,22000,0.25,0.3,16500.0,16500.0,,VPS0400FS-GF,VPS0400FS-GF
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 25,PAGE 25,PAGE 25,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
VPS0450T-GF,VPS0450T-GF,VPS0450T-GF,SMARTVAC,VACUUM PACK MACHINE WITH GAS FLUSHING SYSTEM - 450MM,P,26600,0.25,0.3,19950.0,19950.0,,VPS0450T-GF,VPS0450T-GF
VPS0400T,VPS0400T,VPS0400T,SMARTVAC,VACUUM PACK MACHINE - 400MM - TABLE MODEL,P,19800,0.25,0.3,14850.0,14850.0,,VPS0400T,VPS0400T
VPS0300,VPS0300,VPS0300,SMARTVAC,VACUUM PACK MACHINE - 300MM,P,13800,0.25,0.3,10350.0,10350.0,,VPS0300,VPS0300
VPS0300-GF,VPS0300-GF,VPS0300-GF,SMARTVAC,VACUUM PACK MACHINE WITH GAS FLUSHING SYSTEM - 300MM,P,16800,0.25,0.3,12600.0,12600.0,,VPS0300-GF,VPS0300-GF
VPS0260,VPS0260,VPS0260,SMARTVAC,VACUUM PACK MACHINE - 260MM,P,10400,0.25,0.3,7800.0,7800.0,,VPS0260,VPS0260
VPS0240,VPS0240,VPS0240,SMARTVAC,VACUUM PACK MACHINE - 240MM,P,12800,0.25,0.3,9600.0,9600.0,,VPS0240,VPS0240
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 26,PAGE 26,PAGE 26,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
SMS0880-LW,SMS0880-LW,SMS0880-LW,SMARTVAC,CONTINUOUS SEALING MACHINE - VERTICAL,,7600,0.25,0.3,5700.0,5700.0,,SMS0880-LW,SMS0880-LW
SMS0880,SMS0880,SMS0880,SMARTVAC,CONTINUOUS SEALING MACHINE,,6600,0.25,0.3,4950.0,4950.0,,SMS0880,SMS0880
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 27,PAGE 27,PAGE 27,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
